status,duration_months,credit_history,purpose,amount_dm,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
no_checking_account,18,all_repaid_at_bank,used_car,1049,unknown_or_none,under_1_year,4,female_non_single_or_male_single,none,4,car_or_other,21,none,free,1,skilled_employee_or_official,2,no,no,good,under_25
no_checking_account,9,all_repaid_at_bank,other,2799,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,2,unknown_or_none,36,none,free,2,skilled_employee_or_official,1,no,no,good,35_49
below_0_dm,12,no_or_repaid_credits,retraining,841,below_100_dm,4_to_7_years,2,female_non_single_or_male_single,none,4,unknown_or_none,23,none,free,1,resident_unskilled,2,no,no,good,under_25
no_checking_account,12,all_repaid_at_bank,other,2122,unknown_or_none,1_to_4_years,3,male_married_or_widowed,none,2,unknown_or_none,39,none,free,2,resident_unskilled,1,no,yes,good,35_49
no_checking_account,12,all_repaid_at_bank,other,2171,unknown_or_none,1_to_4_years,4,male_married_or_widowed,none,4,car_or_other,38,bank,rent,2,resident_unskilled,2,no,yes,good,35_49
no_checking_account,10,all_repaid_at_bank,other,2241,unknown_or_none,under_1_year,1,male_married_or_widowed,none,3,unknown_or_none,48,none,free,2,resident_unskilled,1,no,yes,good,35_49
no_checking_account,8,all_repaid_at_bank,other,3398,unknown_or_none,4_to_7_years,1,male_married_or_widowed,none,4,unknown_or_none,39,none,rent,2,resident_unskilled,2,no,yes,good,35_49
no_checking_account,6,all_repaid_at_bank,other,1361,unknown_or_none,under_1_year,2,male_married_or_widowed,none,4,unknown_or_none,40,none,rent,1,resident_unskilled,1,no,yes,good,35_49
200_plus_dm,18,all_repaid_at_bank,furniture_equipment,1098,unknown_or_none,unemployed,4,female_non_single_or_male_single,none,4,savings_or_life_insurance,65,none,rent,2,unemployed_or_nonresident_unskilled,2,no,no,good,50_plus
below_0_dm,24,no_or_repaid_credits,furniture_equipment,3758,100_to_500_dm,unemployed,1,female_non_single_or_male_single,none,4,real_estate,23,none,free,1,unemployed_or_nonresident_unskilled,2,no,no,good,under_25
no_checking_account,11,all_repaid_at_bank,other,3905,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,2,unknown_or_none,36,none,free,2,skilled_employee_or_official,1,no,no,good,35_49
no_checking_account,30,all_repaid_at_bank,new_car,6187,below_100_dm,4_to_7_years,1,female_single,none,4,savings_or_life_insurance,24,none,free,2,skilled_employee_or_official,2,no,no,good,under_25
no_checking_account,6,all_repaid_at_bank,furniture_equipment,1957,unknown_or_none,4_to_7_years,1,female_non_single_or_male_single,none,4,savings_or_life_insurance,31,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,48,repaid_to_date,business,7582,below_100_dm,unemployed,2,male_married_or_widowed,none,4,real_estate,31,none,rent,1,manager_or_self_employed,2,yes,no,good,25_34
no_checking_account,18,no_or_repaid_credits,furniture_equipment,1936,1000_plus_dm,4_to_7_years,2,female_single,none,4,savings_or_life_insurance,23,none,free,2,resident_unskilled,2,no,no,good,under_25
no_checking_account,6,no_or_repaid_credits,furniture_equipment,2647,100_to_500_dm,1_to_4_years,2,male_married_or_widowed,none,3,unknown_or_none,44,none,free,1,skilled_employee_or_official,1,no,no,good,35_49
no_checking_account,11,all_repaid_at_bank,other,3939,unknown_or_none,1_to_4_years,1,male_married_or_widowed,none,2,unknown_or_none,40,none,rent,2,resident_unskilled,1,no,no,good,35_49
below_0_dm,18,no_or_repaid_credits,furniture_equipment,3213,100_to_500_dm,under_1_year,1,female_single,none,3,unknown_or_none,25,none,free,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,36,all_repaid_at_bank,furniture_equipment,2337,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,4,unknown_or_none,36,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
200_plus_dm,11,all_repaid_at_bank,other,7228,unknown_or_none,1_to_4_years,1,male_married_or_widowed,none,4,car_or_other,39,none,rent,2,resident_unskilled,2,no,no,good,35_49
no_checking_account,6,all_repaid_at_bank,other,3676,unknown_or_none,1_to_4_years,1,male_married_or_widowed,none,3,unknown_or_none,37,none,free,3,skilled_employee_or_official,1,no,no,good,35_49
below_0_dm,12,all_repaid_at_bank,other,3124,unknown_or_none,under_1_year,1,male_married_or_widowed,none,3,unknown_or_none,49,bank,rent,2,resident_unskilled,1,no,no,good,35_49
below_0_dm,36,no_or_repaid_credits,domestic_appliances,2384,unknown_or_none,under_1_year,4,male_married_or_widowed,none,1,real_estate,33,none,free,1,resident_unskilled,2,no,no,bad,25_34
below_0_dm,12,all_repaid_at_bank,radio_television,1424,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,3,car_or_other,26,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
no_checking_account,6,all_repaid_at_bank,other,4716,1000_plus_dm,under_1_year,1,male_married_or_widowed,none,3,unknown_or_none,44,none,rent,2,resident_unskilled,1,no,no,good,35_49
below_0_dm,11,repaid_to_date,furniture_equipment,4771,unknown_or_none,4_to_7_years,2,male_married_or_widowed,none,4,car_or_other,51,none,rent,1,skilled_employee_or_official,2,no,no,good,50_plus
no_checking_account,12,no_or_repaid_credits,used_car,652,unknown_or_none,7_plus_years,4,female_non_single_or_male_single,none,4,car_or_other,24,none,free,1,skilled_employee_or_official,2,no,no,good,under_25
below_0_dm,9,all_repaid_at_bank,furniture_equipment,1154,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,4,unknown_or_none,37,none,rent,3,resident_unskilled,2,no,no,good,35_49
200_plus_dm,15,no_or_repaid_credits,other,3556,1000_plus_dm,1_to_4_years,3,male_married_or_widowed,none,2,real_estate,29,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
0_to_200_dm,42,all_repaid_at_bank,new_car,4796,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,4,real_estate,56,none,own,1,skilled_employee_or_official,2,no,no,good,50_plus
0_to_200_dm,30,all_repaid_at_bank,furniture_equipment,3017,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,4,car_or_other,47,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
200_plus_dm,36,all_repaid_at_bank,other,3535,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,4,savings_or_life_insurance,37,none,rent,2,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,36,all_repaid_at_bank,other,6614,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,4,savings_or_life_insurance,34,none,rent,2,manager_or_self_employed,2,yes,no,good,25_34
200_plus_dm,24,no_or_repaid_credits,furniture_equipment,1376,100_to_500_dm,4_to_7_years,4,female_non_single_or_male_single,none,1,savings_or_life_insurance,28,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
no_checking_account,15,no_or_repaid_credits,other,1721,unknown_or_none,under_1_year,2,male_married_or_widowed,none,3,unknown_or_none,36,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
no_checking_account,6,all_repaid_at_bank,other,860,unknown_or_none,7_plus_years,1,female_non_single_or_male_single,none,4,real_estate,39,none,rent,2,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,12,all_repaid_at_bank,other,1495,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,1,unknown_or_none,38,none,rent,2,resident_unskilled,1,no,no,good,35_49
200_plus_dm,12,all_repaid_at_bank,furniture_equipment,1934,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,2,real_estate,26,none,rent,2,skilled_employee_or_official,2,no,no,good,25_34
200_plus_dm,18,no_or_repaid_credits,new_car,3378,1000_plus_dm,1_to_4_years,2,male_married_or_widowed,none,1,car_or_other,31,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,24,all_repaid_at_bank,new_car,3868,unknown_or_none,7_plus_years,4,female_non_single_or_male_single,none,2,savings_or_life_insurance,41,none,free,2,manager_or_self_employed,2,yes,no,good,35_49
200_plus_dm,12,all_repaid_at_bank,domestic_appliances,996,1000_plus_dm,4_to_7_years,4,female_non_single_or_male_single,none,4,unknown_or_none,23,none,rent,2,skilled_employee_or_official,2,no,no,good,under_25
no_checking_account,24,no_or_repaid_credits,business,1755,unknown_or_none,7_plus_years,4,female_non_single_or_male_single,guarantor,4,unknown_or_none,58,none,rent,1,resident_unskilled,2,yes,no,good,50_plus
200_plus_dm,18,all_repaid_at_bank,other,1028,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,3,unknown_or_none,36,none,rent,2,skilled_employee_or_official,2,no,no,good,35_49
below_0_dm,24,all_repaid_at_bank,retraining,2825,1000_plus_dm,4_to_7_years,4,male_married_or_widowed,none,3,real_estate,34,none,rent,2,skilled_employee_or_official,1,yes,no,good,25_34
below_0_dm,18,no_or_repaid_credits,repairs,1239,1000_plus_dm,1_to_4_years,4,male_married_or_widowed,none,4,real_estate,61,none,own,1,skilled_employee_or_official,2,no,no,good,50_plus
no_checking_account,18,no_or_repaid_credits,other,1216,unknown_or_none,under_1_year,4,female_non_single_or_male_single,none,3,savings_or_life_insurance,23,none,free,1,skilled_employee_or_official,2,yes,no,bad,under_25
200_plus_dm,24,no_or_repaid_credits,retraining,1258,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,1,unknown_or_none,25,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,18,all_repaid_at_bank,repairs,1864,below_100_dm,1_to_4_years,4,female_non_single_or_male_single,none,2,unknown_or_none,30,none,rent,2,skilled_employee_or_official,2,no,no,bad,25_34
200_plus_dm,24,no_or_repaid_credits,other,1474,below_100_dm,under_1_year,4,female_single,none,3,unknown_or_none,33,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
no_checking_account,24,all_repaid_at_bank,retraining,1382,below_100_dm,4_to_7_years,4,male_married_or_widowed,none,1,unknown_or_none,26,none,rent,2,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,12,no_or_repaid_credits,other,640,unknown_or_none,1_to_4_years,4,male_divorced_or_separated,none,2,unknown_or_none,49,none,rent,1,resident_unskilled,2,no,no,good,35_49
0_to_200_dm,36,no_or_repaid_credits,furniture_equipment,3919,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,2,unknown_or_none,23,none,rent,1,skilled_employee_or_official,2,yes,no,good,under_25
200_plus_dm,9,all_repaid_at_bank,other,1224,unknown_or_none,1_to_4_years,3,male_married_or_widowed,none,1,unknown_or_none,30,none,rent,2,skilled_employee_or_official,2,no,no,good,25_34
200_plus_dm,12,all_repaid_at_bank,furniture_equipment,2331,1000_plus_dm,7_plus_years,1,male_married_or_widowed,co_applicant,4,unknown_or_none,49,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,24,no_or_repaid_credits,new_car,6313,1000_plus_dm,7_plus_years,3,male_married_or_widowed,none,4,savings_or_life_insurance,41,none,rent,1,manager_or_self_employed,1,yes,no,good,35_49
no_checking_account,12,all_repaid_at_bank,furniture_equipment,385,unknown_or_none,4_to_7_years,4,female_non_single_or_male_single,none,3,unknown_or_none,58,none,rent,4,resident_unskilled,2,yes,no,good,50_plus
200_plus_dm,12,all_repaid_at_bank,furniture_equipment,1655,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,4,unknown_or_none,63,none,rent,2,resident_unskilled,2,yes,no,good,50_plus
no_checking_account,15,no_or_repaid_credits,furniture_equipment,1053,unknown_or_none,under_1_year,4,female_single,none,2,unknown_or_none,27,none,rent,1,skilled_employee_or_official,2,no,yes,good,25_34
200_plus_dm,21,no_or_repaid_credits,furniture_equipment,3160,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,3,car_or_other,41,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,36,no_or_repaid_credits,other,3079,1000_plus_dm,1_to_4_years,4,male_married_or_widowed,none,4,unknown_or_none,36,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
200_plus_dm,12,all_repaid_at_bank,other,1163,100_to_500_dm,1_to_4_years,4,male_married_or_widowed,none,4,unknown_or_none,44,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,24,no_or_repaid_credits,new_car,2679,unknown_or_none,under_1_year,4,female_non_single_or_male_single,none,1,real_estate,29,none,rent,1,manager_or_self_employed,2,yes,no,good,25_34
