case_id,genre,diplome,anciennete_annees,verite_terrain,recommandation_ia,ia_visible,decision_humaine,recours,decision_finale,decision_at,final_at,reviewer_id,synthetic
SYN-00001,Homme,Bac+2,9.6,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-19,,R-14,True
SYN-00002,Femme,Licence,4.8,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-01,,R-09,True
SYN-00003,Femme,Bac+2,4.9,Favorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-28,2026-03-06,R-03,True
SYN-00004,Homme,Licence,4.4,Défavorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-04-17,2026-05-25,R-27,True
SYN-00005,Femme,Licence,10.6,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-08,,R-21,True
SYN-00006,Femme,Master,3.9,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-06,,R-19,True
SYN-00007,Homme,Bac+2,7.1,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-01,,R-14,True
SYN-00008,Femme,Bac+2,4.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-01-15,,R-04,True
SYN-00009,Homme,Licence,7.8,Défavorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-04-09,,R-18,True
SYN-00010,Homme,Licence,10.3,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-13,,R-09,True
SYN-00011,Femme,Licence,2.9,Favorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-03-24,,R-21,True
SYN-00012,Femme,Licence,11.1,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-04-04,2026-04-30,R-07,True
SYN-00013,Femme,Master,4.4,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-18,,R-19,True
SYN-00014,Homme,Master,0.3,Favorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-02-02,2026-02-09,R-08,True
SYN-00015,Femme,Bac+2,6.5,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-02,,R-06,True
SYN-00016,Femme,Master,4.1,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-02-18,,R-17,True
SYN-00017,Homme,Bac+2,6.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-12,,R-19,True
SYN-00018,Femme,Master,5.1,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-10,,R-16,True
SYN-00019,Homme,Bac+2,13.7,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-02-04,2026-03-07,R-27,True
SYN-00020,Femme,Bac+2,3.5,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-04-19,,R-24,True
SYN-00021,Homme,Licence,11.1,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-04-02,2026-05-01,R-08,True
SYN-00022,Femme,Master,3.9,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-05,,R-30,True
SYN-00023,Femme,Licence,5.7,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-27,,R-02,True
SYN-00024,Femme,Bac+2,4.1,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-18,,R-05,True
SYN-00025,Homme,Bac+2,7.0,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-16,,R-03,True
SYN-00026,Homme,Bac+2,12.8,Défavorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-01-30,,R-18,True
SYN-00027,Femme,Master,9.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-09,,R-27,True
SYN-00028,Femme,Master,4.7,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-01,,R-10,True
SYN-00029,Homme,Licence,5.9,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-12,,R-26,True
SYN-00030,Femme,Master,1.3,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-25,,R-04,True
SYN-00031,Femme,Licence,6.4,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-28,,R-29,True
SYN-00032,Femme,Licence,9.3,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-28,,R-10,True
SYN-00033,Femme,Licence,8.9,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-07,,R-23,True
SYN-00034,Homme,Master,1.8,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-03-18,2026-04-18,R-13,True
SYN-00035,Homme,Licence,2.5,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-19,,R-30,True
SYN-00036,Homme,Bac+2,1.4,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-04-10,,R-13,True
SYN-00037,Femme,Bac+2,1.2,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-02,,R-02,True
SYN-00038,Femme,Licence,8.9,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-15,,R-25,True
SYN-00039,Homme,Licence,9.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-02,,R-03,True
SYN-00040,Homme,Bac+2,1.7,Favorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-04-13,,R-27,True
SYN-00041,Homme,Master,1.1,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-02-22,2026-03-24,R-06,True
SYN-00042,Homme,Bac+2,4.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-05,,R-25,True
SYN-00043,Femme,Bac+2,3.8,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-01,,R-02,True
SYN-00044,Femme,Master,1.7,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-25,,R-28,True
SYN-00045,Femme,Bac+2,2.9,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-08,,R-15,True
SYN-00046,Femme,Bac+2,5.1,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-02,,R-01,True
SYN-00047,Homme,Master,11.3,Favorable,Favorable,Visible,Défavorable,Oui,Favorable,2026-03-06,2026-03-23,R-02,True
SYN-00048,Homme,Licence,14.4,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-07,,R-19,True
SYN-00049,Femme,Licence,13.6,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-11,,R-29,True
SYN-00050,Homme,Licence,11.7,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-17,,R-28,True
SYN-00051,Femme,Licence,7.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-06,,R-25,True
SYN-00052,Homme,Master,15.9,Favorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-06,,R-01,True
SYN-00053,Femme,Licence,0.6,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-27,,R-12,True
SYN-00054,Femme,Licence,7.9,Favorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-01-06,,R-12,True
SYN-00055,Femme,Licence,5.5,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-13,,R-29,True
SYN-00056,Homme,Master,0.8,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-24,,R-30,True
SYN-00057,Femme,Licence,1.9,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-02-25,2026-03-19,R-06,True
SYN-00058,Homme,Bac+2,14.3,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-04-27,2026-05-11,R-24,True
SYN-00059,Homme,Master,4.3,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-03-31,2026-04-07,R-08,True
SYN-00060,Femme,Master,6.3,Favorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-02-20,,R-13,True
SYN-00061,Femme,Licence,10.4,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-29,,R-15,True
SYN-00062,Femme,Licence,1.8,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-08,,R-03,True
SYN-00063,Homme,Master,3.7,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-21,,R-07,True
SYN-00064,Femme,Licence,4.2,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-03-03,2026-04-13,R-04,True
SYN-00065,Homme,Licence,2.2,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-21,,R-22,True
SYN-00066,Femme,Master,3.9,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-07,,R-09,True
SYN-00067,Femme,Licence,2.5,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-28,,R-23,True
SYN-00068,Homme,Bac+2,3.9,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-01-11,,R-10,True
SYN-00069,Femme,Bac+2,2.9,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-19,,R-27,True
SYN-00070,Homme,Master,3.9,Défavorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-04-02,2026-04-11,R-11,True
SYN-00071,Homme,Master,1.4,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-20,,R-25,True
SYN-00072,Homme,Bac+2,1.3,Défavorable,Défavorable,Masquée,Défavorable,Oui,Défavorable,2026-01-28,2026-03-01,R-13,True
SYN-00073,Homme,Master,6.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-28,,R-02,True
SYN-00074,Homme,Master,4.1,Défavorable,Défavorable,Visible,Favorable,Non,Favorable,2026-01-03,,R-11,True
SYN-00075,Femme,Licence,1.9,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-09,,R-22,True
SYN-00076,Femme,Licence,2.7,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-16,,R-06,True
SYN-00077,Homme,Licence,3.1,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-30,,R-24,True
SYN-00078,Homme,Licence,2.8,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-04-30,,R-21,True
SYN-00079,Femme,Licence,3.3,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-04,,R-01,True
SYN-00080,Homme,Licence,5.0,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-23,,R-13,True
SYN-00081,Homme,Licence,9.0,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-05,,R-01,True
SYN-00082,Homme,Licence,1.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-15,,R-04,True
SYN-00083,Homme,Bac+2,7.5,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-28,,R-08,True
SYN-00084,Femme,Licence,8.5,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-03-26,,R-15,True
SYN-00085,Homme,Bac+2,4.1,Favorable,Défavorable,Visible,Favorable,Non,Favorable,2026-03-20,,R-23,True
SYN-00086,Homme,Bac+2,6.4,Défavorable,Défavorable,Visible,Favorable,Non,Favorable,2026-02-13,,R-29,True
SYN-00087,Homme,Licence,4.8,Favorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-01-29,,R-18,True
SYN-00088,Homme,Master,3.9,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-21,,R-17,True
SYN-00089,Homme,Master,0.8,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-17,,R-17,True
SYN-00090,Femme,Licence,4.3,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-06,,R-08,True
SYN-00091,Femme,Master,5.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-04,,R-03,True
SYN-00092,Femme,Master,1.3,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-04-04,,R-28,True
SYN-00093,Femme,Licence,2.0,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-02,,R-17,True
SYN-00094,Femme,Master,17.4,Favorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-04-15,,R-28,True
SYN-00095,Homme,Master,6.2,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-12,,R-02,True
SYN-00096,Femme,Master,4.7,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-04-30,,R-21,True
SYN-00097,Homme,Licence,8.8,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-21,,R-05,True
SYN-00098,Homme,Licence,5.5,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-28,,R-04,True
SYN-00099,Homme,Master,4.8,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-25,,R-16,True
