genre,age,diplome,anciennete_annees,zone_postale,secteur,selection,performance_observee
Homme,43,Licence,5.6,Sud,Tech,Non retenu,Insuffisante
Femme,28,Master,5.3,Nord,Industrie,Retenu,Satisfaisante
Homme,34,Master,2.9,Centre,Tech,Retenu,Insuffisante
Femme,45,Master,8.9,Sud,Tech,Retenu,Satisfaisante
Femme,44,Doctorat,3.2,Nord,Services,Non retenu,Insuffisante
Femme,50,Licence,3.6,Sud,Finance,Retenu,Satisfaisante
Femme,36,Licence,2.4,Nord,Services,Non retenu,Insuffisante
Homme,60,Licence,3.7,Centre,Finance,Non retenu,Insuffisante
Homme,32,Licence,6.6,Centre,Industrie,Retenu,Insuffisante
Femme,23,Licence,10.6,Nord,Services,Retenu,Satisfaisante
Femme,35,Licence,6.3,Centre,Finance,Retenu,Satisfaisante
Homme,25,Master,1.9,Nord,Industrie,Non retenu,Satisfaisante
Femme,44,Licence,6.0,Sud,Industrie,Retenu,Insuffisante
Homme,37,Licence,7.0,Sud,Tech,Retenu,Insuffisante
Homme,23,Licence,5.5,Ouest,Services,Retenu,Insuffisante
Femme,39,Master,5.2,Ouest,Services,Retenu,Satisfaisante
Homme,48,Licence,3.4,Centre,Services,Non retenu,Insuffisante
Homme,32,Licence,4.9,Centre,Services,Retenu,Satisfaisante
Femme,34,Licence,2.7,Nord,Industrie,Non retenu,Insuffisante
Femme,30,Licence,3.1,Nord,Industrie,Non retenu,Insuffisante
Femme,32,Master,3.5,Sud,Finance,Retenu,Insuffisante
Femme,24,Licence,1.0,Nord,Tech,Non retenu,Insuffisante
Homme,35,Licence,6.8,Nord,Services,Retenu,Insuffisante
Femme,27,Licence,2.4,Centre,Industrie,Retenu,Satisfaisante
Homme,39,Master,7.7,Centre,Tech,Retenu,Insuffisante
Homme,49,Master,0.7,Ouest,Services,Retenu,Satisfaisante
Femme,45,Master,2.4,Ouest,Tech,Retenu,Satisfaisante
Femme,40,Doctorat,12.7,Sud,Services,Retenu,Satisfaisante
Femme,48,Licence,1.9,Ouest,Tech,Non retenu,Insuffisante
Homme,44,Licence,6.3,Ouest,Tech,Non retenu,Insuffisante
Femme,32,Master,1.1,Ouest,Finance,Non retenu,Satisfaisante
Homme,41,Licence,1.7,Ouest,Tech,Non retenu,Insuffisante
Homme,44,Master,7.4,Nord,Finance,Non retenu,Satisfaisante
Femme,35,Doctorat,5.7,Sud,Industrie,Retenu,Insuffisante
Homme,43,Licence,9.9,Sud,Industrie,Non retenu,Insuffisante
Homme,29,Master,1.5,Nord,Services,Non retenu,Insuffisante
Homme,41,Licence,3.0,Ouest,Tech,Retenu,Insuffisante
Femme,43,Licence,4.9,Centre,Finance,Non retenu,Insuffisante
Homme,39,Master,2.8,Ouest,Services,Non retenu,Insuffisante
Femme,35,Licence,4.5,Sud,Services,Retenu,Insuffisante
Homme,40,Master,0.8,Sud,Industrie,Non retenu,Insuffisante
Homme,29,Licence,4.4,Centre,Tech,Retenu,Insuffisante
Femme,32,Master,2.3,Nord,Services,Non retenu,Insuffisante
Homme,43,Licence,3.6,Ouest,Tech,Non retenu,Satisfaisante
Femme,47,Doctorat,3.5,Nord,Tech,Non retenu,Satisfaisante
Femme,46,Master,1.9,Nord,Tech,Non retenu,Insuffisante
Femme,37,Doctorat,2.3,Sud,Industrie,Non retenu,Insuffisante
Femme,42,Master,0.4,Sud,Finance,Retenu,Satisfaisante
Homme,32,Master,5.3,Nord,Services,Retenu,Satisfaisante
Homme,40,Master,5.9,Ouest,Services,Retenu,Satisfaisante
Homme,32,Master,3.7,Centre,Industrie,Non retenu,Satisfaisante
Homme,26,Master,7.7,Sud,Finance,Retenu,Insuffisante
Homme,41,Master,7.8,Sud,Services,Non retenu,Satisfaisante
Femme,35,Licence,3.9,Sud,Tech,Non retenu,Satisfaisante
Homme,36,Licence,6.4,Ouest,Finance,Retenu,Insuffisante
Homme,30,Licence,5.1,Ouest,Industrie,Retenu,Insuffisante
Femme,53,Licence,6.4,Nord,Tech,Non retenu,Insuffisante
Femme,42,Doctorat,7.2,Centre,Services,Retenu,Insuffisante
Femme,30,Licence,7.0,Nord,Services,Non retenu,Insuffisante
Femme,44,Master,5.6,Ouest,Tech,Retenu,Satisfaisante
Femme,38,Master,3.8,Centre,Tech,Non retenu,Satisfaisante
Femme,31,Licence,7.2,Centre,Tech,Non retenu,Insuffisante
Femme,30,Master,2.0,Sud,Finance,Retenu,Insuffisante
Homme,47,Doctorat,6.7,Ouest,Industrie,Retenu,Satisfaisante
Homme,35,Licence,8.9,Ouest,Tech,Non retenu,Insuffisante
Femme,42,Master,2.5,Ouest,Industrie,Retenu,Insuffisante
Homme,32,Doctorat,1.1,Ouest,Industrie,Retenu,Insuffisante
Homme,43,Licence,9.2,Ouest,Industrie,Non retenu,Insuffisante
Femme,42,Master,6.4,Nord,Industrie,Non retenu,Satisfaisante
Femme,43,Licence,2.2,Sud,Finance,Non retenu,Satisfaisante
Femme,42,Licence,2.1,Nord,Services,Retenu,Insuffisante
Homme,48,Master,3.5,Centre,Tech,Non retenu,Insuffisante
Homme,46,Licence,2.2,Sud,Tech,Retenu,Insuffisante
Homme,32,Master,1.2,Sud,Finance,Non retenu,Insuffisante
Homme,54,Licence,2.8,Ouest,Tech,Non retenu,Satisfaisante
